Age,Attrition,BusinessTravel,,Department,DistanceFromHome,EducationField,EmployeeNumber,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,WorkLifeBalance rating ,YearsAtCompany,YearsSinceLastPromotion,satisfaction_level,salary,RetirementYear
28,0,Travel_Rarely,,Research & Development,10,Other,1097,Female,59,2,Research Scientist,3,Single,3660,0,13,3,10,4,8,1,38%,medium,2029
35,1,Travel_Rarely,,Sales,4,Technical Degree,1100,Male,86,3,Sales Executive,1,Single,9582,1,22,4,9,3,8,4,45%,medium,2017
33,1,Travel_Frequently,,Research & Development,29,Medical,1101,Female,54,2,Research Scientist,3,Single,4508,0,22,4,14,3,13,3,38%,medium,2039
25,1,Travel_Rarely,,Research & Development,4,Technical Degree,1106,Male,32,1,Laboratory Technician,4,Married,3691,1,15,3,7,4,7,5,36%,high,2009
38,0,Travel_Rarely,,Sales,10,Marketing,1119,Male,73,3,Sales Executive,3,Divorced,8740,1,14,3,9,3,8,2,75%,low,2036
28,0,Travel_Rarely,,Research & Development,3,Medical,1121,Female,93,3,Manufacturing Director,2,Divorced,7655,0,17,3,10,2,9,1,10%,medium,2001
43,0,Travel_Frequently,,Research & Development,27,Life Sciences,1126,Female,83,3,Manufacturing Director,1,Married,10820,0,11,3,18,3,8,0,10%,medium,2013
39,1,Travel_Frequently,,Research & Development,2,Life Sciences,1127,Male,84,4,Healthcare Representative,4,Divorced,12169,0,11,3,21,3,18,11,45%,medium,2014
40,0,Travel_Rarely,,Research & Development,14,Medical,1128,Male,44,5,Research Director,3,Single,19626,0,14,3,21,4,20,4,42%,medium,2023
29,0,Travel_Rarely,,Research & Development,8,Medical,1150,Male,79,2,Manufacturing Director,4,Married,5056,1,15,3,10,2,10,1,78%,low,2040
40,0,Travel_Frequently,,Research & Development,9,Medical,1166,Female,88,3,Research Director,3,Single,13499,0,17,3,20,2,18,2,45%,low,2039
26,0,Travel_Rarely,,Research & Development,3,Medical,1177,Male,82,1,Laboratory Technician,4,Married,4420,0,22,4,8,3,8,0,84%,low,2021
35,0,Travel_Rarely,,Research & Development,2,Life Sciences,1182,Male,44,3,Manufacturing Director,2,Divorced,10274,0,18,3,15,4,7,6,11%,low,2006
53,0,Travel_Rarely,,Research & Development,7,Medical,1201,Female,50,5,Manager,3,Divorced,18606,0,18,3,26,3,7,4,42%,low,2013
35,0,Travel_Rarely,,Sales,17,Life Sciences,1218,Male,94,2,Sales Executive,1,Married,8966,1,15,3,15,3,7,1,45%,low,2004
33,0,Travel_Frequently,,Sales,25,Medical,1220,Female,82,2,Sales Executive,3,Married,4539,0,12,3,10,2,10,0,46%,low,2004
36,0,Travel_Rarely,,Research & Development,6,Life Sciences,1221,Male,60,1,Laboratory Technician,3,Divorced,2741,0,14,3,7,3,7,1,9%,low,2002
30,0,Travel_Rarely,,Research & Development,7,Life Sciences,1224,Male,49,2,Laboratory Technician,3,Divorced,3491,0,13,3,10,2,10,8,87%,low,2023
60,0,Travel_Rarely,,Sales,7,Marketing,1233,Male,52,2,Sales Executive,4,Divorced,5220,1,18,3,12,3,11,1,10%,low,2007
32,0,Travel_Frequently,,Research & Development,2,Life Sciences,1235,Female,38,2,Research Scientist,3,Single,4998,1,14,3,10,3,8,0,91%,low,2034
36,0,Travel_Rarely,,Research & Development,1,Technical Degree,1237,Female,77,3,Manufacturing Director,1,Divorced,10252,1,21,4,17,3,7,7,76%,low,2039
27,0,Travel_Rarely,,Research & Development,14,Life Sciences,1244,Male,42,1,Research Scientist,1,Married,2235,1,14,3,9,2,9,6,74%,low,2024
43,0,Travel_Rarely,,Research & Development,3,Life Sciences,1255,Male,96,5,Research Director,4,Married,19740,0,14,3,25,3,8,0,92%,low,2039
29,0,Travel_Rarely,,Research & Development,1,Life Sciences,1264,Female,87,4,Research Director,4,Divorced,16124,0,14,3,9,2,7,1,76%,low,2040
59,0,Travel_Rarely,,Research & Development,18,Medical,1283,Male,67,3,Manufacturing Director,4,Single,10512,0,12,3,25,2,9,5,47%,low,2035
43,0,Travel_Rarely,,Sales,4,Marketing,1293,Female,56,3,Sales Executive,4,Single,10231,0,14,3,23,4,21,15,73%,low,2030
44,1,Travel_Rarely,,Research & Development,15,Medical,1295,Female,73,3,Healthcare Representative,4,Married,7978,0,11,3,10,3,10,0,9%,low,2020
29,1,Travel_Rarely,,Research & Development,7,Technical Degree,1299,Female,39,1,Laboratory Technician,3,Divorced,3339,1,13,3,10,3,7,7,91%,low,2039
32,0,Travel_Rarely,,Sales,8,Medical,1304,Male,56,2,Sales Executive,4,Married,6209,0,15,3,10,4,10,0,82%,low,2038
36,0,Travel_Rarely,,Research & Development,10,Technical Degree,1312,Female,63,3,Healthcare Representative,3,Married,7094,0,12,3,10,3,7,1,28%,low,2034
52,1,Travel_Rarely,,Sales,5,Life Sciences,1319,Male,64,3,Sales Executive,2,Single,8446,1,19,3,10,2,8,7,84%,medium,2021
39,0,Travel_Rarely,,Research & Development,18,Life Sciences,1322,Male,32,2,Manufacturing Director,3,Single,4534,0,11,3,9,3,8,1,45%,medium,2021
34,0,Travel_Rarely,,Research & Development,9,Life Sciences,1344,Male,86,3,Healthcare Representative,4,Divorced,8500,0,11,3,10,2,9,1,45%,medium,2034
38,0,Travel_Rarely,,Sales,2,Life Sciences,1355,Female,31,2,Sales Executive,1,Divorced,6893,0,15,3,11,3,7,1,91%,medium,2018
36,0,Travel_Frequently,,Sales,7,Marketing,1362,Female,83,2,Sales Executive,1,Married,4639,0,16,3,17,2,15,6,42%,medium,2018
35,0,Travel_Rarely,,Research & Development,1,Medical,1369,Female,60,2,Laboratory Technician,4,Married,5363,0,12,3,10,3,9,0,82%,medium,2039
55,1,Travel_Rarely,,Sales,13,Marketing,1372,Male,85,4,Sales Executive,3,Single,13695,1,17,3,24,2,19,3,11%,medium,2028
34,0,Travel_Rarely,,Research & Development,29,Medical,1377,Male,86,2,Laboratory Technician,3,Married,5429,0,13,3,10,3,8,7,42%,medium,2007
43,0,Travel_Rarely,,Research & Development,6,Medical,1402,Female,73,2,Research Scientist,3,Single,4081,1,14,3,20,1,20,1,82%,medium,2032
42,0,Travel_Rarely,,Human Resources,10,Human Resources,1408,Female,31,4,Manager,1,Married,16799,0,14,3,21,3,20,0,9%,medium,2011
26,0,Travel_Rarely,,Research & Development,7,Other,1417,Male,100,1,Laboratory Technician,1,Single,3578,0,12,3,8,3,7,0,10%,medium,2031
29,1,Travel_Frequently,,Research & Development,14,Other,1421,Female,84,3,Healthcare Representative,4,Single,7553,1,12,3,9,3,8,7,86%,medium,2024
54,0,Travel_Rarely,,Research & Development,1,Medical,1422,Female,54,4,Research Director,4,Single,17328,0,19,3,29,2,20,12,40%,high,2039
55,0,Travel_Rarely,,Research & Development,1,Medical,1424,Male,81,4,Research Director,4,Divorced,14732,0,13,3,31,4,7,0,45%,low,2039
40,0,Non-Travel,,Research & Development,9,Other,1449,Male,81,2,Laboratory Technician,3,Divorced,3975,0,11,3,11,4,8,0,42%,medium,2001
31,0,Travel_Rarely,,Sales,8,Life Sciences,1453,Male,31,3,Sales Executive,4,Divorced,10793,0,18,3,13,3,13,9,74%,medium,2004
46,1,Travel_Rarely,,Sales,9,Marketing,1457,Male,52,3,Sales Executive,4,Divorced,10096,0,11,3,28,4,7,4,55%,medium,2006
45,0,Travel_Rarely,,Research & Development,20,Medical,1460,Male,95,3,Healthcare Representative,1,Divorced,10851,1,18,3,24,3,7,0,37%,medium,2028
49,0,Travel_Rarely,,Research & Development,7,Life Sciences,1484,Male,35,3,Healthcare Representative,2,Divorced,10466,0,14,3,29,3,8,0,41%,low,2018
29,0,Travel_Rarely,,Sales,19,Life Sciences,1497,Male,77,2,Sales Executive,3,Divorced,8620,0,14,3,10,3,10,0,89%,low,2006
29,1,Travel_Rarely,,Research & Development,1,Technical Degree,1522,Male,100,1,Research Scientist,1,Single,2362,0,13,3,11,1,9,0,41%,low,2007
29,0,Travel_Rarely,,Research & Development,8,Other,1544,Female,39,2,Healthcare Representative,1,Married,9715,0,13,3,9,3,7,0,44%,low,2034
40,0,Travel_Rarely,,Human Resources,6,Medical,1550,Male,38,4,Manager,4,Single,16437,1,21,4,21,3,21,7,87%,low,2028
48,0,Travel_Rarely,,Sales,16,Life Sciences,1557,Female,96,2,Sales Executive,3,Divorced,6439,0,14,3,18,3,8,7,10%,low,2016
53,1,Travel_Rarely,,Research & Development,2,Technical Degree,1572,Female,78,3,Manufacturing Director,4,Married,10169,0,16,3,34,3,33,1,41%,low,2012
44,0,Travel_Rarely,,Research & Development,7,Medical,1608,Female,31,5,Research Director,4,Divorced,19049,1,14,3,23,2,22,1,11%,low,2010
45,0,Travel_Rarely,,Research & Development,5,Medical,1611,Female,50,2,Laboratory Technician,1,Single,5769,1,14,3,10,3,10,1,43%,low,2007
45,0,Non-Travel,,Sales,26,Marketing,1612,Male,52,2,Sales Executive,1,Married,4385,0,15,3,10,3,10,4,77%,low,2021
34,0,Travel_Frequently,,Research & Development,10,Life Sciences,1615,Male,42,2,Manufacturing Director,4,Divorced,4724,0,13,3,9,3,9,7,41%,low,2013
39,0,Travel_Rarely,,Research & Development,10,Medical,1618,Male,76,2,Manufacturing Director,1,Married,5377,0,13,3,10,3,7,7,41%,low,2023
27,0,Travel_Rarely,,Research & Development,19,Other,1619,Male,67,1,Laboratory Technician,1,Divorced,4066,0,11,3,7,3,7,0,36%,low,2026
45,0,Travel_Rarely,,Research & Development,2,Other,1635,Female,59,2,Manufacturing Director,4,Divorced,5770,0,19,3,10,3,10,3,77%,low,2026
44,0,Travel_Frequently,,Human Resources,1,Human Resources,1642,Male,37,2,Human Resources,4,Married,5743,1,11,3,14,3,10,0,81%,low,2002
25,0,Travel_Frequently,,Research & Development,2,Life Sciences,1653,Male,77,2,Manufacturing Director,3,Divorced,5206,0,17,3,7,3,7,0,39%,low,2028
49,0,Travel_Rarely,,Research & Development,1,Life Sciences,1677,Male,36,4,Manager,3,Single,15379,0,14,3,23,3,8,0,9%,low,2028
48,1,Travel_Frequently,,Sales,7,Medical,1691,Female,95,1,Sales Representative,3,Married,2655,1,11,3,19,3,9,7,44%,low,2007
26,0,Non-Travel,,Research & Development,7,Medical,1693,Male,76,1,Laboratory Technician,4,Single,2570,0,20,4,7,3,7,5,10%,low,2002
44,0,Travel_Rarely,,Research & Development,2,Life Sciences,1703,Female,96,3,Healthcare Representative,4,Married,7879,1,19,3,9,3,8,6,36%,low,2001
36,0,Travel_Rarely,,Sales,2,Life Sciences,1710,Female,51,2,Sales Representative,4,Single,4502,0,15,3,17,2,13,6,81%,low,2022
46,0,Travel_Rarely,,Research & Development,13,Life Sciences,1727,Male,34,2,Healthcare Representative,2,Single,5562,0,14,3,19,3,10,0,81%,medium,2038
35,0,Travel_Rarely,,Research & Development,27,Life Sciences,1728,Male,49,2,Manufacturing Director,3,Married,6883,0,16,3,17,3,7,0,85%,medium,2017
30,0,Travel_Frequently,,Research & Development,2,Technical Degree,1745,Female,78,1,Research Scientist,1,Single,4968,0,16,3,10,3,9,0,10%,medium,2029
30,0,Travel_Rarely,,Sales,15,Marketing,1754,Male,94,3,Sales Executive,1,Divorced,7140,0,11,3,12,3,7,1,37%,medium,2015
33,0,Non-Travel,,Sales,2,Marketing,1756,Female,62,2,Sales Executive,2,Single,5147,0,15,3,13,2,11,1,9%,medium,2014
32,0,Non-Travel,,Research & Development,5,Technical Degree,1764,Male,65,1,Research Scientist,2,Single,2718,0,14,3,12,3,7,0,44%,medium,2040
43,0,Travel_Rarely,,Human Resources,2,Life Sciences,1778,Male,97,1,Human Resources,4,Single,3539,0,13,3,10,3,9,1,86%,medium,2003
31,0,Travel_Rarely,,Sales,29,Marketing,1784,Female,91,2,Sales Executive,4,Married,5468,0,14,3,13,3,12,5,77%,medium,2005
35,1,Travel_Rarely,,Sales,27,Life Sciences,1797,Male,84,2,Sales Executive,4,Single,5813,1,18,3,10,3,10,7,41%,medium,2018
35,0,Non-Travel,,Research & Development,2,Medical,1804,Male,90,2,Manufacturing Director,4,Divorced,5762,0,14,3,15,3,7,1,40%,medium,2035
30,0,Travel_Rarely,,Research & Development,10,Medical,1816,Female,64,3,Manufacturing Director,3,Single,9667,0,14,3,9,3,7,0,43%,medium,2022
46,1,Travel_Rarely,,Research & Development,21,Medical,1821,Female,66,2,Healthcare Representative,2,Married,8926,0,22,4,13,4,9,3,43%,medium,2011
45,0,Non-Travel,,Sales,2,Life Sciences,1845,Female,67,2,Sales Executive,3,Married,5154,0,22,4,10,4,8,5,80%,high,2015
43,0,Travel_Frequently,,Sales,2,Life Sciences,1849,Male,92,2,Sales Executive,4,Married,5675,0,20,4,7,3,7,7,80%,low,2012
46,1,Travel_Rarely,,Sales,10,Life Sciences,1869,Female,64,3,Sales Executive,2,Married,7314,0,21,4,14,3,8,0,82%,medium,2037
40,0,Travel_Rarely,,Research & Development,1,Life Sciences,1892,Male,98,4,Manager,1,Divorced,16823,0,11,3,22,3,19,11,37%,medium,2017
27,0,Travel_Rarely,,Sales,2,Medical,1898,Female,89,2,Sales Executive,3,Single,6500,0,14,3,9,2,8,0,37%,medium,2001
42,0,Travel_Rarely,,Research & Development,6,Medical,1911,Male,83,3,Research Director,1,Married,13348,0,13,3,18,4,13,5,9%,medium,2020
26,0,Travel_Frequently,,Research & Development,6,Other,1918,Male,61,1,Laboratory Technician,4,Married,2544,0,18,3,8,3,7,7,90%,low,2019
28,0,Travel_Frequently,,Sales,1,Life Sciences,1927,Male,42,2,Sales Executive,4,Married,6834,1,12,3,7,3,7,0,41%,low,2022
47,0,Non-Travel,,Research & Development,14,Technical Degree,1934,Male,64,2,Research Scientist,2,Married,5467,0,18,3,16,4,8,1,10%,low,2032
34,0,Travel_Rarely,,Sales,13,Medical,1951,Male,39,3,Sales Executive,3,Divorced,8628,0,18,3,9,2,8,1,44%,low,2029
26,0,Travel_Rarely,,Research & Development,1,Medical,1952,Male,95,1,Laboratory Technician,1,Single,2867,0,13,3,8,2,7,7,89%,low,2012
27,0,Travel_Rarely,,Sales,9,Marketing,1965,Male,44,2,Sales Executive,4,Single,4105,0,14,3,7,3,7,0,42%,low,2019
31,1,Travel_Frequently,,Sales,26,Marketing,1967,Male,63,2,Sales Executive,4,Married,5617,1,11,3,10,3,10,0,87%,low,2023
33,0,Travel_Frequently,,Research & Development,7,Life Sciences,1970,Male,36,2,Healthcare Representative,3,Divorced,5968,0,20,4,9,3,9,2,45%,low,2014
31,0,Non-Travel,,Research & Development,10,Medical,1979,Female,40,3,Research Director,3,Married,11031,0,20,4,13,4,11,4,11%,low,2027
35,0,Travel_Rarely,,Research & Development,9,Medical,2008,Male,48,2,Research Scientist,3,Single,5098,0,19,3,10,3,10,0,9%,low,2009
33,0,Travel_Rarely,,Research & Development,15,Medical,2009,Female,95,2,Healthcare Representative,4,Married,4878,1,13,3,10,3,9,8,76%,low,2011
39,0,Travel_Rarely,,Research & Development,24,Life Sciences,2014,Male,52,2,Research Scientist,4,Single,4108,0,13,3,18,3,7,1,11%,low,2038
36,0,Travel_Rarely,,Sales,3,Medical,2024,Female,94,3,Sales Executive,4,Married,7644,0,19,3,10,3,9,3,37%,low,2003
41,0,Travel_Rarely,,Research & Development,28,Life Sciences,2034,Female,60,4,Manufacturing Director,2,Married,13570,0,23,4,21,3,20,0,10%,low,2030
34,0,Travel_Rarely,,Sales,28,Marketing,2035,Female,95,2,Sales Executive,3,Married,6712,0,21,4,8,3,8,1,77%,low,2016
38,0,Travel_Rarely,,Sales,10,Life Sciences,2041,Female,100,2,Sales Executive,4,Married,5343,0,11,3,10,3,10,1,42%,low,2006
39,0,Travel_Rarely,,Research & Development,6,Medical,2062,Male,42,3,Healthcare Representative,1,Married,9991,0,15,3,9,3,7,1,38%,low,2013
34,0,Travel_Rarely,,Research & Development,7,Life Sciences,28,Female,53,3,Research Director,2,Single,11994,0,11,3,13,3,12,2,32%,low,2028
44,0,Travel_Rarely,,Research & Development,7,Medical,36,Female,42,3,Healthcare Representative,4,Married,10248,0,14,3,24,3,22,5,38%,low,2036
46,0,Travel_Frequently,,Sales,5,Marketing,62,Male,98,2,Sales Executive,4,Single,5772,1,21,4,14,3,9,0,19%,low,2029
41,0,Travel_Frequently,,Research & Development,10,Life Sciences,199,Male,91,4,Manager,1,Divorced,17181,0,13,3,21,2,7,7,10%,low,2033
39,0,Travel_Frequently,,Research & Development,2,Technical Degree,343,Female,64,3,Healthcare Representative,3,Single,10938,0,25,4,20,3,19,11,76%,medium,2023
42,0,Travel_Rarely,,Research & Development,2,Medical,351,Female,56,1,Laboratory Technician,1,Divorced,2593,1,11,3,10,3,9,7,53%,medium,2032
33,0,Travel_Frequently,,Research & Development,5,Life Sciences,428,Female,74,3,Manager,2,Married,11878,0,11,3,12,3,10,8,39%,medium,2024
35,0,Travel_Rarely,,Research & Development,5,Technical Degree,464,Male,62,3,Manufacturing Director,2,Single,8095,0,13,3,17,3,16,0,11%,medium,2006
33,1,Travel_Rarely,,Research & Development,15,Medical,582,Male,56,3,Manager,3,Married,13610,1,12,3,15,4,7,7,10%,medium,2027
40,0,Travel_Rarely,,Research & Development,6,Life Sciences,601,Female,75,4,Manufacturing Director,3,Single,13237,0,15,3,22,3,20,5,84%,medium,2022
41,0,Travel_Rarely,,Human Resources,10,Human Resources,731,Male,73,5,Manager,4,Divorced,19141,0,15,3,23,2,21,12,82%,medium,2018
27,0,Travel_Rarely,,Research & Development,7,Medical,764,Female,55,2,Healthcare Representative,1,Single,6811,0,19,3,9,1,7,0,10%,medium,2020
52,0,Travel_Rarely,,Sales,3,Marketing,776,Male,31,4,Manager,1,Married,16856,0,11,3,34,4,34,1,59%,medium,2033
51,0,Travel_Rarely,,Sales,26,Marketing,851,Female,66,4,Manager,3,Married,16307,0,14,3,29,2,20,4,44%,medium,2019
47,0,Travel_Rarely,,Sales,2,Marketing,903,Female,35,2,Sales Executive,4,Married,4537,1,22,4,8,3,7,7,89%,medium,2011
50,0,Non-Travel,,Research & Development,2,Life Sciences,905,Male,98,4,Manager,1,Divorced,17924,0,11,3,31,3,31,14,91%,medium,2028
35,0,Travel_Rarely,,Research & Development,21,Life Sciences,942,Female,51,2,Healthcare Representative,4,Married,4014,1,25,4,10,1,10,0,66%,high,2017
39,0,Travel_Rarely,,Research & Development,1,Life Sciences,1026,Female,65,4,Manufacturing Director,4,Married,12742,0,16,3,21,3,21,11,11%,low,2022
39,0,Travel_Frequently,,Research & Development,22,Medical,1043,Female,82,3,Manufacturing Director,1,Single,10880,1,13,3,21,3,21,2,43%,medium,2034
41,0,Travel_Rarely,,Research & Development,7,Technical Degree,1085,Female,43,1,Research Scientist,3,Married,3376,0,13,3,10,3,10,0,78%,medium,2009
44,1,Travel_Rarely,,Human Resources,1,Medical,1098,Male,91,3,Human Resources,1,Married,10482,0,14,3,24,3,20,3,11%,medium,2032
42,0,Travel_Rarely,,Research & Development,2,Medical,1109,Male,35,4,Manager,1,Married,17665,0,17,3,23,3,22,13,83%,medium,2008
52,0,Travel_Rarely,,Research & Development,7,Life Sciences,1118,Male,87,3,Healthcare Representative,2,Single,10445,0,19,3,18,3,8,4,39%,low,2003
38,0,Travel_Rarely,,Human Resources,1,Human Resources,1152,Male,37,1,Human Resources,3,Married,2844,0,13,3,7,4,7,5,38%,low,2001
46,0,Travel_Rarely,,Human Resources,1,Life Sciences,1314,Female,44,1,Human Resources,1,Single,3423,0,12,3,10,4,7,5,37%,low,2019
35,0,Travel_Frequently,,Research & Development,4,Life Sciences,1350,Male,87,2,Research Scientist,3,Single,4249,1,11,3,9,3,9,1,44%,low,2034
28,0,Travel_Rarely,,Research & Development,29,Life Sciences,1514,Male,96,2,Manufacturing Director,2,Married,6549,0,14,3,8,2,8,1,53%,low,2040
44,0,Travel_Rarely,,Research & Development,28,Life Sciences,1523,Male,32,4,Research Director,1,Married,16328,0,13,3,24,4,20,14,9%,low,2023
50,0,Travel_Frequently,,Research & Development,22,Medical,1539,Male,88,4,Research Director,4,Single,14411,1,13,3,32,3,32,13,11%,low,2015
55,0,Travel_Rarely,,Sales,26,Marketing,1578,Male,60,5,Manager,4,Married,19586,0,21,4,36,3,36,2,83%,low,2039
39,0,Travel_Rarely,,Sales,6,Medical,1588,Male,38,3,Sales Executive,3,Married,8237,0,11,3,11,3,7,7,88%,low,2017
49,0,Travel_Rarely,,Research & Development,25,Life Sciences,1617,Female,84,1,Laboratory Technician,1,Married,3211,0,14,3,10,2,9,1,10%,low,2002
45,0,Travel_Rarely,,Research & Development,28,Technical Degree,1719,Female,48,4,Research Director,2,Single,16704,0,11,3,21,3,21,8,9%,low,2004
46,0,Travel_Rarely,,Sales,2,Life Sciences,1732,Male,74,3,Sales Executive,4,Divorced,10368,1,12,3,13,2,10,0,44%,low,2039
27,0,Travel_Frequently,,Research & Development,15,Life Sciences,1870,Female,77,1,Research Scientist,1,Married,4774,0,19,3,8,2,7,7,39%,low,2001
42,0,Travel_Rarely,,Research & Development,2,Life Sciences,2031,Male,56,5,Manager,3,Married,18880,0,11,3,24,2,22,4,87%,low,2030
49,0,Travel_Frequently,,Sales,2,Medical,2065,Male,63,2,Sales Executive,2,Married,5390,0,14,3,17,2,9,0,74%,low,2035
29,0,Travel_Rarely,,Research & Development,15,Life Sciences,15,Female,49,2,Laboratory Technician,3,Single,4193,1,12,3,10,3,9,0,10%,low,2027
34,0,Non-Travel,,Sales,23,Marketing,60,Male,72,2,Sales Executive,3,Single,4568,0,20,4,10,3,9,8,74%,low,2036
37,0,Travel_Rarely,,Research & Development,1,Life Sciences,77,Male,51,2,Manufacturing Director,3,Divorced,5993,0,18,3,7,4,7,0,75%,low,2003
36,0,Travel_Frequently,,Research & Development,11,Life Sciences,85,Male,95,2,Manufacturing Director,2,Single,6499,0,13,3,6,3,6,0,41%,low,2006
45,0,Travel_Rarely,,Research & Development,29,Medical,192,Male,83,1,Research Scientist,4,Single,3452,0,13,3,9,2,6,0,41%,low,2039
29,0,Travel_Rarely,,Research & Development,15,Life Sciences,346,Male,60,1,Research Scientist,4,Single,2340,0,19,3,6,3,6,1,9%,low,2001
26,0,Travel_Frequently,,Research & Development,1,Life Sciences,384,Female,84,2,Manufacturing Director,2,Divorced,6397,0,20,4,6,1,6,1,9%,medium,2015
28,0,Travel_Rarely,,Sales,9,Life Sciences,498,Male,92,2,Sales Executive,4,Single,5253,0,16,3,7,3,7,0,39%,medium,2024
42,0,Travel_Frequently,,Research & Development,28,Technical Degree,551,Female,88,2,Healthcare Representative,4,Married,4523,0,11,3,7,4,6,0,40%,medium,2012
31,0,Travel_Rarely,,Sales,2,Life Sciences,604,Male,77,2,Sales Executive,4,Single,6582,1,13,3,10,4,6,0,37%,medium,2006
37,0,Travel_Rarely,,Research & Development,1,Technical Degree,623,Female,59,3,Manufacturing Director,4,Single,7491,0,17,3,12,4,6,1,10%,medium,2020
37,0,Non-Travel,,Sales,9,Medical,626,Male,69,3,Sales Executive,2,Divorced,8834,0,13,3,9,3,9,7,43%,medium,2011
37,0,Travel_Rarely,,Research & Development,1,Life Sciences,635,Female,65,2,Manufacturing Director,2,Married,6447,0,12,3,8,2,6,4,75%,medium,2007
24,0,Travel_Rarely,,Research & Development,23,Medical,639,Male,89,1,Research Scientist,4,Married,2725,1,11,3,6,3,6,1,37%,medium,2015
50,0,Travel_Frequently,,Human Resources,3,Medical,644,Male,99,5,Manager,2,Married,18200,0,11,3,32,3,32,10,11%,medium,2037
34,0,Travel_Rarely,,Research & Development,1,Life Sciences,649,Male,83,1,Research Scientist,4,Married,3622,1,13,3,6,3,6,1,45%,medium,2031
27,0,Travel_Frequently,,Sales,3,Medical,714,Female,71,2,Sales Executive,4,Divorced,4647,1,20,4,6,3,6,0,87%,medium,2020
25,0,Travel_Rarely,,Sales,26,Medical,781,Female,32,2,Sales Executive,4,Single,6180,0,23,4,6,2,6,1,11%,medium,2024
34,0,Travel_Rarely,,Sales,2,Other,786,Male,60,2,Sales Executive,4,Single,6274,0,22,4,6,3,6,1,45%,high,2012
34,0,Travel_Rarely,,Research & Development,2,Medical,804,Female,86,1,Research Scientist,1,Single,4381,0,11,3,6,3,6,1,81%,low,2032
35,0,Travel_Rarely,,Research & Development,7,Other,845,Male,59,3,Manufacturing Director,3,Single,10221,0,21,4,17,4,8,1,77%,medium,2013
35,0,Travel_Rarely,,Research & Development,27,Medical,856,Female,53,1,Research Scientist,1,Single,2559,0,11,3,6,2,6,1,89%,medium,2019
33,0,Travel_Frequently,,Research & Development,1,Other,998,Female,84,2,Healthcare Representative,2,Married,5488,1,13,3,6,3,6,1,43%,medium,2035
29,0,Travel_Rarely,,Research & Development,28,Life Sciences,1120,Female,93,1,Research Scientist,4,Divorced,2514,0,22,4,11,3,7,1,78%,medium,2004
29,0,Travel_Frequently,,Research & Development,10,Life Sciences,1143,Female,61,1,Research Scientist,2,Divorced,3291,0,14,3,8,2,7,1,37%,low,2022
34,0,Travel_Rarely,,Sales,9,Life Sciences,1163,Female,70,2,Sales Executive,3,Married,5714,0,20,4,6,2,6,1,37%,low,2020
28,0,Travel_Rarely,,Research & Development,19,Medical,1216,Male,78,1,Laboratory Technician,1,Married,3196,0,12,3,6,3,6,3,85%,low,2005
44,0,Travel_Rarely,,Research & Development,2,Life Sciences,1246,Female,72,1,Research Scientist,4,Married,2011,0,13,3,10,3,10,7,41%,low,2008
31,0,Travel_Rarely,,Research & Development,11,Medical,1251,Male,80,2,Healthcare Representative,1,Married,6833,1,12,3,6,2,6,0,11%,low,2013
26,0,Travel_Rarely,,Research & Development,4,Life Sciences,1275,Male,53,1,Research Scientist,4,Single,2875,1,20,4,8,2,8,2,75%,low,2005
47,0,Travel_Rarely,,Research & Development,1,Technical Degree,1438,Male,74,1,Research Scientist,4,Married,3420,0,12,3,17,2,6,1,82%,low,2021
37,0,Non-Travel,,Research & Development,5,Technical Degree,1440,Male,84,1,Laboratory Technician,3,Single,3500,0,14,3,7,1,6,1,79%,low,2039
32,0,Non-Travel,,Research & Development,1,Technical Degree,1574,Male,62,2,Research Scientist,1,Married,4087,0,14,3,9,2,6,1,43%,low,2016
32,0,Travel_Rarely,,Research & Development,2,Medical,1671,Male,45,2,Research Scientist,2,Divorced,5470,0,13,3,10,2,9,1,10%,low,2018
33,0,Non-Travel,,Sales,16,Life Sciences,1681,Female,36,2,Sales Executive,4,Divorced,5368,1,25,4,7,3,6,1,46%,low,2039
47,1,Travel_Frequently,,Sales,9,Life Sciences,1716,Male,82,4,Sales Executive,3,Married,12936,0,11,3,25,1,23,14,43%,low,2038
41,1,Travel_Rarely,,Sales,1,Life Sciences,1,Female,94,2,Sales Executive,4,Single,5993,1,11,3,8,1,6,0,43%,low,2007
35,0,Travel_Rarely,,Research & Development,16,Medical,14,Male,84,1,Laboratory Technician,2,Married,2426,0,13,3,6,3,5,0,11%,low,2032
29,0,Travel_Rarely,,Research & Development,2,Life Sciences,94,Male,76,1,Research Scientist,2,Married,2703,0,23,4,6,3,5,0,9%,low,2014
32,0,Travel_Rarely,,Research & Development,1,Life Sciences,96,Male,66,2,Research Scientist,2,Married,6220,0,17,3,10,3,10,0,37%,low,2014
35,0,Travel_Rarely,,Research & Development,1,Medical,105,Male,30,1,Research Scientist,3,Single,2859,0,18,3,6,3,6,0,40%,low,2039
56,0,Travel_Rarely,,Research & Development,7,Life Sciences,112,Male,49,3,Manufacturing Director,4,Single,7260,0,11,3,37,2,6,0,10%,low,2031
28,0,Non-Travel,,Sales,4,Medical,129,Male,43,2,Sales Executive,3,Married,4221,0,15,3,5,4,5,0,41%,low,2032
